"response_id","cost_accomm","cost_dom_travel","cost_food_drink","cost_entertainment","cost_shopping","cost_other","cost_tour_package","cost_dom_flights","cost_car_rentals","cost_eating_out","cost_day_cruise","exc_cost_int_flights","exc_cost_multi_night_cruise","exc_cost_travel_insurance"
"GEN24_1000426",74.28273333,74.28273333,148.5654667,55.71205,111.4241,0,0,0,0,185.7068333,0,964.1898787,0,0
"GEN24_1000430",0,200,150,200,250,0,0,250,0,900,0,750,0,0
"GEN24_1000442",278.56025,0,111.4241,0,0,0,0,0,0,557.1205,0,1114.241,0,0
"GEN24_1000443",1114.241,0,222.8482,445.6964,55.71205,0,0,0,557.1205,334.2723,0,779.9687,0,200.56338
"GEN24_1000446",1485.654667,111.4241,278.56025,0,371.4136667,0,0,371.4136667,742.8273333,371.4136667,0,928.5341667,0,278.56025
"GEN24_1000447",389.98435,0,55.71205,278.56025,0,0,0,0,445.6964,557.1205,0,557.1205,0,0
"GEN24_1000456",1120,160,80,600,40,0,0,0,400,400,0,1400,0,0
"GEN24_1000460",410.5978085,218.391236,90.253521,0,0,0,0,111.4241,1064.100155,399.4553985,0,1500.882627,0,0
"GEN24_1000468",0,0,278.56025,0,278.56025,0,0,0,445.6964,557.1205,0,1559.9374,0,0
"GEN24_1000472",1591.772857,159.1772857,95.50637143,1591.772857,63.67091429,70.03800571,0,318.3545714,222.8482,477.5318571,0,636.7091429,0,70.03800571
"GEN24_1000474",779.9687,66.85446,445.6964,284.131455,167.13615,0,0,111.4241,306.416275,222.8482,72.425665,562.691705,0,124.794992
"GEN24_1000476",417.5,8.5,105,0,157.5,0,0,0,325,52.5,0,474,0,75
"GEN24_1000481",0,0,111.4241,278.56025,557.1205,0,0,445.6964,0,111.4241,0,989.446008,0,111.4241
"GEN24_1000484",325.9925333,217.3283556,353.1585778,217.3283556,1032.309689,0,0,503.658464,359.1351076,597.6529778,0,2569.907804,0,162.9962667
"GEN24_1000485",1018.726667,101.8726667,611.236,488.9888,448.2397333,0,0,0,814.9813333,814.9813333,0,6519.850667,0,61.1236
"GEN24_1000488",2858.376,119.099,595.495,238.198,238.198,0,0,1190.99,0,238.198,0,1190.99,0,238.198
"GEN24_1000497",0,111.4241,55.71205,278.56025,55.71205,0,0,0,0,278.56025,0,1114.241,0,0
"GEN24_1000498",3259.925333,130.3970133,162.9962667,81.49813333,162.9962667,0,0,0,0,488.9888,0,10594.75733,0,0
"GEN24_1000502",278.56025,55.71205,27.856025,55.71205,139.280125,0,0,0,0,278.56025,0,668.5446,0,0
"GEN24_1000508",2100.2298,151.6832633,116.6794333,700.0766,58.33971667,0,0,466.7177333,1166.794333,233.3588667,0,2333.588667,0,58.33971667
"GEN24_1000510",0,191.8263667,1918.263667,0,767.3054667,767.3054667,0,0,0,2877.3955,0,2685.569133,0,959.1318333
"GEN24_1000511",389.98435,111.4241,445.6964,0,1337.0892,0,0,0,0,445.6964,0,1727.07355,0,0
"GEN24_1000512",245.13302,163.4220133,29.71309333,0,0,0,0,0,0,111.4241,0,742.8273333,0,133.70892
"GEN24_1000514",4220.180067,3452.8746,2301.9164,1918.263667,1438.69775,0,0,0,3836.527333,2493.742767,0,3069.221867,0,767.3054667
"GEN24_1000518",334.2723,11.14241,55.71205,111.4241,69.6400625,0,0,0,696.400625,83.568075,0,1114.241,0,35.93427225
"GEN24_1000521",1273.418286,0,79.58864286,95.50637143,0,0,0,0,318.3545714,477.5318571,0,955.0637143,0,0
"GEN24_1000522",977.9776,244.4944,162.9962667,0,325.9925333,0,0,195.59552,0,651.9850667,0,9453.783467,0,0
"GEN24_1000523",0,81.49813333,162.9962667,40.74906667,162.9962667,0,0,0,0,244.4944,0,2444.944,0,0
"GEN24_1000524",0,0,488.9888,97.79776,162.9962667,0,0,0,0,0,0,2933.9328,0,0
"GEN24_1000528",1782.7856,133.70892,44.56964,1337.0892,89.13928,0,0,0,267.41784,445.6964,0,1337.0892,0,0
"GEN24_1000530",557.1205,40.112676,0,0,0,0,0,0,0,0,0,1337.0892,0,0
"GEN24_1000534",0,0,111.4241,0,55.71205,0,0,0,0,445.6964,0,1002.8169,0,0
"GEN24_1000535",1857.068333,77.62545633,371.4136667,371.4136667,148.5654667,928.5341667,0,0,371.4136667,1114.241,111.4241,1114.241,0,92.85341667
"GEN24_1000536",0,0,1726.4373,575.4791,767.3054667,0,0,0,0,959.1318333,0,1726.4373,0,287.73955
"GEN24_1000538",0,40.112676,89.13928,178.27856,133.70892,0,0,0,0,401.12676,0,802.25352,0,0
"GEN24_1000539",623.97496,44.56964,0,0,0,0,0,0,0,724.25665,0,1448.5133,0,0
"GEN24_1000540",0,62.458,124.916,24.9832,312.29,62.458,0,499.664,0,374.748,0,2248.488,0,0
"GEN24_1000542",999.328,249.832,624.58,124.916,281.061,0,0,0,0,374.748,0,2373.404,0,421.5915
"GEN24_1000543",0,0,27.856025,0,0,0,0,0,0,200.56338,0,0,0,0
"GEN24_1000549",1114.241,111.4241,278.56025,0,278.56025,0,0,0,0,557.1205,0,668.5446,0,0
"GEN24_1000558",1448.5133,167.13615,55.71205,1114.241,27.856025,0,0,0,0,389.98435,0,1392.80125,0,122.56651
"GEN24_1000566",1200,0,0,500,0,400,0,0,300,300,0,850,0,125
"GEN24_1000571",545.97809,362.128325,167.13615,557.1205,66.85446,0,0,0,278.56025,278.56025,144.85133,479.12363,0,222.8482
"GEN24_1000574",974.960875,167.13615,167.13615,0,557.1205,0,0,139.280125,779.9687,445.6964,0,668.5446,0,0
"GEN24_1000575",0,445.6964,111.4241,557.1205,278.56025,0,0,0,668.5446,2228.482,0,1559.9374,0,0
"GEN24_1000576",0,100,260,300,500,0,0,0,100,500,0,5500,0,0
"GEN24_1000581",334.2723,222.8482,27.856025,557.1205,278.56025,0,0,0,151.536776,167.13615,0,1058.52895,0,0
"GEN24_1000582",0,0,0,0,0,0,0,0,0,111.4241,0,1559.9374,0,0
"GEN24_1000589",85.71428571,16.85714286,342.8571429,71.42857143,342.8571429,0,0,0,257.1428571,428.5714286,0,1314.285714,0,0
"GEN24_1000590",0,0,55.71205,0,557.1205,0,0,0,0,278.56025,0,557.1205,0,89.13928
"GEN24_1000609",234.6895714,234.6895714,375.5033143,234.6895714,844.8824571,0,0,0,0,422.4412286,0,2675.461114,0,42.24412286
"GEN24_1000611",1166.794333,175.01915,0,583.3971667,116.6794333,0,0,0,605.566259,291.6985833,0,2402.429532,0,116.6794333
"GEN24_1000612",6900,60,1000,200,600,0,0,0,0,4000,0,2000,0,0
"GEN24_1000614",891.3928,55.71205,222.8482,445.6964,22.28482,0,0,0,222.8482,557.1205,210.591549,1114.241,0,111.4241
"GEN24_1000615",779.9687,111.4241,222.8482,334.2723,55.71205,0,0,0,334.2723,1671.3615,278.56025,1114.241,0,222.8482
"GEN24_1000616",2228.482,0,191.0127429,0,0,318.3545714,0,0,318.3545714,636.7091429,0,891.3928,0,143.2595571
"GEN24_1000621",2228.482,445.6964,222.8482,891.3928,222.8482,111.4241,0,167.13615,2228.482,1114.241,763.255085,2785.6025,0,222.8482
"GEN24_1000622",557.1205,66.85446,0,0,0,0,0,389.98435,557.1205,779.9687,0,668.5446,0,0
"GEN24_1000624",573.0382286,38.20254857,63.67091429,700.3800571,95.50637143,0,0,0,350.1900286,175.0950143,0,1082.405543,0,47.75318571
"GEN24_1000625",1671.3615,445.6964,334.2723,167.13615,111.4241,0,0,0,779.9687,668.5446,200.56338,2005.6338,0,167.13615
"GEN24_1000626",1500,0,300,200,0,0,0,0,600,400,190,1800,0,100
"GEN24_1000632",2005.6338,50.140845,111.4241,389.98435,167.13615,0,0,0,0,1392.80125,0,1281.37715,0,66.85446
"GEN24_1000633",1949.92175,83.568075,167.13615,33.42723,278.56025,0,0,0,0,1392.80125,0,1169.95305,0,83.568075
"GEN24_1000637",0,0,55.71205,0,0,0,0,0,0,111.4241,0,1671.3615,0,0
"GEN24_1000643",1392.80125,0,139.280125,835.68075,111.4241,0,0,0,0,139.280125,0,1559.9374,0,0
"GEN24_1000649",947.10485,250.704225,334.2723,22.28482,167.13615,222.8482,0,0,445.6964,167.13615,0,668.5446,0,0
"GEN24_1000650",752.112675,144.85133,181.0641625,167.13615,334.2723,33.42723,0,0,125.3521125,125.3521125,0,501.40845,0,33.42723
"GEN24_1000653",278.56025,167.13615,222.8482,0,66.85446,557.1205,0,0,334.2723,557.1205,0,557.1205,0,77.99687
"GEN24_1000655",800,0,0,50,100,0,0,0,0,500,0,750,0,300
"GEN24_1000660",0,98.053208,200.56338,222.8482,22.28482,0,0,0,33.42723,200.56338,0,1114.241,0,0
"GEN24_1000662",1642.827,0,82.14135,0,32.85654,0,0,657.1308,0,246.42405,0,13142.616,0,0
"GEN24_1000663",0,0,0,0,0,2228.482,0,0,0,0,0,0,0,0
"GEN24_1000664",823.2649217,240.676056,77.99687,850.0067057,312.9425437,14.32595571,0,0,452.0634914,515.7344057,0,1671.043145,0,0
"GEN24_1000665",0,445.6964,3343.837241,111.4241,891.3928,55.71205,0,445.6964,2228.482,557.1205,0,1448.5133,0,334.2723
"GEN24_1000669",183.3333333,33.33333333,116.6666667,0,166.6666667,0,0,0,0,266.6666667,0,1333.333333,0,0
"GEN24_1000671",685.7142857,328.5714286,85.71428571,857.1428571,57.14285714,0,0,0,628.5714286,328.5714286,0,1428.571429,0,171.4285714
"GEN24_1000672",891.3928,111.4241,55.71205,55.71205,557.1205,0,0,0,0,1114.241,133.70892,1448.5133,0,0
"GEN24_1000674",0,0,27.856025,0,222.8482,0,0,0,0,139.280125,0,1504.22535,0,194.992175
"GEN24_1000676",501.40845,0,389.98435,150.422535,278.56025,0,0,0,1448.5133,891.3928,0,1448.5133,0,295.273865
"GEN24_1000677",579.40532,356.55712,133.70892,200.56338,169.364632,0,0,0,0,245.13302,160.450704,1593.810326,0,0
"GEN24_1000678",153.4610933,383.6527333,191.8263667,575.4791,95.91318333,0,0,479.5659167,0,95.91318333,0,959.1318333,0,57.54791
"GEN24_1000691",0,60,200,0,0,0,0,0,0,20,0,1000,0,0
"GEN24_1000693",0,27.856025,55.71205,0,0,0,0,0,0,0,0,947.10485,0,0
"GEN24_1000695",2228.482,222.8482,100.28169,735.39906,0,0,0,0,0,200.56338,0,668.5446,2228.482,0
"GEN24_1000697",1337.0892,55.71205,334.2723,0,445.6964,0,0,0,0,557.1205,0,1337.0892,0,0
"GEN24_1000700",645.7026595,295.273865,194.992175,334.2723,222.8482,0,0,0,420.6259775,668.5446,0,1184.995304,0,0
"GEN24_1000706",1350,0,300,350,250,100,0,0,400,750,0,600,0,400
"GEN24_1000708",991.7751833,583.3971667,175.01915,58.33971667,116.6794333,0,0,0,466.7177333,408.3780167,379.2081583,1575.17235,0,175.01915
"GEN24_1000711",500,225,175,50,50,0,0,0,450,175,25,2250,0,0
"GEN24_1000713",1671.3615,0,89.13928,557.1205,0,0,0,0,557.1205,445.6964,144.85133,445.6964,0,0
"GEN24_1000718",0,0,222.8482,557.1205,222.8482,0,0,0,0,334.2723,0,1415.08607,0,77.99687
"GEN24_1000719",1002.8169,0,222.8482,222.8482,111.4241,0,0,222.8482,1559.9374,557.1205,0,445.6964,0,0
"GEN24_1000720",1671.3615,0,55.71205,557.1205,835.68075,0,0,0,835.68075,668.5446,0,1949.92175,0,66.85446
"GEN24_1000729",1500,200,200,750,500,0,0,0,500,650,0,1250,0,125
"GEN24_1000731",835.68075,167.13615,167.13615,0,27.856025,0,0,0,278.56025,222.8482,0,891.3928,0,0
"GEN24_1000736",1303.970133,0,0,0,162.9962667,0,0,0,0,0,0,16299.62667,0,0
"GEN24_1000739",13854.68267,0,162.9962667,814.9813333,407.4906667,0,0,1629.962667,0,1629.962667,0,12224.72,0,0
"GEN24_1000746",650,0,0,0,100,0,0,1000,700,300,0,1000,0,0
"GEN24_1000748",1782.7856,133.70892,222.8482,167.13615,334.2723,0,0,0,665.201877,111.4241,0,691.943661,0,196.106416
"GEN24_1000760",7799.687,222.8482,334.2723,445.6964,16713.615,1671.3615,0,278.56025,1114.241,2228.482,0,891.3928,0,334.2723
"GEN24_1000766",835.68075,222.8482,55.71205,0,0,0,0,0,0,445.6964,0,891.3928,0,222.8482
"GEN24_1000775",50,200,100,200,20,0,0,0,0,100,0,1800,0,50
"GEN24_1000778",0,83.568075,839.023473,167.13615,16.713615,0,0,0,111.4241,707.543035,0,724.25665,0,311.98748
"GEN24_1000781",5000,0,1000,2000,500,0,7067.289731,0,500,2000,0,0,0,0
