"response_id","place_stayed","nights"
"GEN24_1000426","Porirua City",9
"GEN24_1000426","Wellington City",1
"GEN24_1000430","Hutt City",1
"GEN24_1000430","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1000430","Wellington City",18
"GEN24_1000442","Waitaki District",4
"GEN24_1000446","Dunedin City",27
"GEN24_1000447","Ashburton District",4
"GEN24_1000456","Christchurch City",3
"GEN24_1000456","Mackenzie District",3
"GEN24_1000456","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1000460","Auckland District",7
"GEN24_1000460","Christchurch City",1
"GEN24_1000460","Tauranga City",10
"GEN24_1000460","Waimate District",3
"GEN24_1000460","Whangarei District",3
"GEN24_1000468","Manawatu District",17
"GEN24_1000472","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1000474","Christchurch City",7
"GEN24_1000474","Kaikoura District",3
"GEN24_1000474","Mackenzie District",1
"GEN24_1000474","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1000474","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",1
"GEN24_1000474","Southland District (Fiordland)",2
"GEN24_1000476","Buller District",4
"GEN24_1000476","Christchurch City",5
"GEN24_1000476","Grey District",1
"GEN24_1000476","Hurunui District",4
"GEN24_1000481","Tasman District",14
"GEN24_1000484","Dunedin City",3
"GEN24_1000484","Kapiti Coast District",15
"GEN24_1000484","Taupo District",2
"GEN24_1000485","Auckland District",10
"GEN24_1000485","Whangarei District",5
"GEN24_1000488","Auckland District",57
"GEN24_1000488","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000497","Napier City",8
"GEN24_1000497","Wellington City",3
"GEN24_1000498","Wellington City",21
"GEN24_1000502","Wellington City",8
"GEN24_1000508","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",2
"GEN24_1000508","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",5
"GEN24_1000510","Christchurch City",49
