"year","qtr","date","response_id","identifier","interview_date","airport","country_of_residence","country_of_residence_group","au_state_of_origin","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","arrival_method","arrival_date","no_days_in_nz","no_days_in_nz_unknown","no_selection_itinerary","package_deal","pkg_included_airfare","country_package_started","trip_start_country","incl_stay_other_country","no_nights_other_country","single_or_others","no_people_over_15","no_people_under_15","currency","other_purchase","age_range","visited_ni","visited_si","travel_type","main_transport_type","sustainability_considered","treated_spend","population_weight","psu","vem_pop_weight"
2022,3,"2022-09-30","GEN24_1000426","Q3_2022_2_1","2022-07-11","Wellington","Australia","Australia","Victoria","Male","No","Visiting friends / relatives","To visit family","Wellington airport","2022-07-01",10,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,2,"NZD - New Zealand dollar",NA,"45 - 49","Visited the North Island",NA,"Independent Traveller","Car or van owned by you / family / friend(s) / company","Sometimes",649.9739167,1052.4455531789717,"Wellington to all airports",288.82015139176127
2022,3,"2022-09-30","GEN24_1000430","Q3_2022_2_2","2022-07-11","Wellington","Australia","Australia","Victoria","Male","No","Visiting friends / relatives","To visit family","Wellington airport","2022-06-18",23,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"45 - 49","Visited the North Island","Visited the South Island","Independent Traveller","Car or van owned by you / family / friend(s) / company","Sometimes",1950,2222.432898603419,"Wellington to all airports",288.82015139176127
2022,3,"2022-09-30","GEN24_1000442","Q3_2022_3_2","2022-07-11","Christchurch","Australia","Australia","Western Australia","Male","No","Visiting friends / relatives","To visit friends","Christchurch airport","2022-06-28",13,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"45 - 49",NA,"Visited the South Island","Independent Traveller","Rental car","Not sure",947.10485,176.0825336170744,"Christchurch to Sydney, Melbourne",288.82015139176127
2022,3,"2022-09-30","GEN24_1000443","Q3_2022_3_8","2022-07-11","Christchurch","Australia","Australia",NA,"Female","No","Holiday / vacation","Just for the holiday","Auckland airport","2022-06-29",12,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"20 - 24",NA,NA,"Independent Traveller",NA,NA,2729.89045,142.24043776049362,"Christchurch to Sydney, Melbourne",NA
2022,3,"2022-09-30","GEN24_1000446","Q3_2022_3_3","2022-07-11","Christchurch","Australia","Australia","Australian Capital Territory","Male","No","Visiting friends / relatives","To care for a family member or friend","Wellington airport","2022-06-12",29,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",3,0,"NZD - New Zealand dollar",NA,"55 - 59",NA,"Visited the South Island","Independent Traveller","Rental car","Sometimes",3732.70735,56.27188208340124,"Christchurch to Sydney, Melbourne",351.0778004422676
2022,3,"2022-09-30","GEN24_1000447","Q3_2022_3_4","2022-07-11","Christchurch","Australia","Australia","Victoria","Male","No","Holiday / vacation","Just for the holiday","Christchurch airport","2022-07-08",3,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"50 - 54",NA,"Visited the South Island","Independent Traveller",NA,"Never",1727.07355,51.22824019843532,"Christchurch to Sydney, Melbourne",288.82015139176127
2022,3,"2022-09-30","GEN24_1000456","Q3_2022_3_9","2022-07-11","Christchurch","Australia","Australia","Western Australia","Female","No","Holiday / vacation","Just for the holiday","Christchurch airport","2022-07-01",10,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,1,"NZD - New Zealand dollar",NA,"40 - 44",NA,"Visited the South Island","Independent Traveller",NA,"Sometimes",2800,36.710473071332636,"Christchurch to Sydney, Melbourne",218.22192232203048
2022,3,"2022-09-30","GEN24_1000460","Q3_2022_3_5","2022-07-11","Christchurch","Australia","Australia","Queensland","Male","No","Visiting friends / relatives","To visit family","Auckland airport","2022-06-17",24,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"70 - 74","Visited the North Island","Visited the South Island","Independent Traveller","Rental car","Never",2294.222219,80.37498212416281,"Christchurch to other Australia",303.7801972240088
2022,3,"2022-09-30","GEN24_1000468","Q3_2022_3_10","2022-07-11","Christchurch","Australia","Australia","Queensland","Female","No","Visiting friends / relatives","To visit family","Wellington airport","2022-06-24",17,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"55 - 59","Visited the North Island",NA,"Independent Traveller",NA,"Sometimes",1559.9374,37.922289631216366,"Christchurch to other Australia",236.1532204656224
2022,3,"2022-09-30","GEN24_1000472","Q3_2022_3_6","2022-07-11","Christchurch","Australia","Australia","Queensland","Male","No","Holiday / vacation","Just for the holiday","Auckland airport","2022-07-03",8,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,3,"NZD - New Zealand dollar",NA,"50 - 54",NA,"Visited the South Island","Independent Traveller","Taxi / shuttle service","Not sure",4590.67292,115.21543959474842,"Christchurch to other Australia",288.82015139176127
2022,3,"2022-09-30","GEN24_1000474","Q3_2022_3_11","2022-07-11","Christchurch","Australia","Australia","Queensland","Female","No","Holiday / vacation","Just for the holiday","Auckland airport","2022-06-21",20,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"20 - 24",NA,"Visited the South Island","Independent Traveller","Rental car","Always",2456.901405,40.59113895014976,"Christchurch to other Australia",209.0170042264651
2022,3,"2022-09-30","GEN24_1000476","Q3_2022_3_12","2022-07-11","Christchurch","Australia","Australia","Queensland","Female","No","Visiting friends / relatives","To visit family","Christchurch airport","2022-06-28",13,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"65 - 69",NA,"Visited the South Island","Independent Traveller","Rental car","Sometimes",1066,86.02246605505474,"Christchurch to other Australia",204.33838823690786
2022,3,"2022-09-30","GEN24_1000481","Q3_2022_3_13","2022-07-11","Christchurch","Australia","Australia","New South Wales","Female","No","Visiting friends / relatives","For a wedding, funeral, other family occasion","Auckland airport","2022-06-27",14,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"50 - 54",NA,"Visited the South Island","Independent Traveller",NA,"Always",1504.22535,47.176512581227115,"Christchurch to other Australia",194.27548196044106
2022,3,"2022-09-30","GEN24_1000484","Q3_2022_1_2","2022-07-11","Auckland","United States of America","USA",NA,"Female","No","Visiting friends / relatives","To visit family","Auckland airport","2022-06-21",20,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",3,0,"NZD - New Zealand dollar",NA,"55 - 59","Visited the North Island","Visited the South Island","Independent Traveller","Car or van owned by you / family / friend(s) / company","Sometimes",3606.56406,115.71804711904674,"Auckland to USA",133.23166573876708
