"response_id","transport_method"
"GEN24_1000426","App-based services such as Uber, Ola, etc"
"GEN24_1000426","Car or van owned by you / family / friend(s) / company"
"GEN24_1000426","Taxi / shuttle service"
"GEN24_1000430","Bicycle"
"GEN24_1000430","Car or van owned by you / family / friend(s) / company"
"GEN24_1000430","Other bus service"
"GEN24_1000430","Train"
"GEN24_1000442","Rental car"
"GEN24_1000442","Taxi / shuttle service"
"GEN24_1000446","Plane (within New Zealand)"
"GEN24_1000446","Rental car"
"GEN24_1000446","Taxi / shuttle service"
"GEN24_1000447","Rental car"
"GEN24_1000456","Rental car"
"GEN24_1000460","Plane (within New Zealand)"
"GEN24_1000460","Rental car"
"GEN24_1000468","Rental car"
"GEN24_1000472","Helicopter"
"GEN24_1000472","Other boat or ship"
"GEN24_1000472","Other bus service"
"GEN24_1000472","Plane (within New Zealand)"
"GEN24_1000472","Rental campervan / motor-home"
"GEN24_1000472","Taxi / shuttle service"
"GEN24_1000474","Car or van owned by you / family / friend(s) / company"
"GEN24_1000474","Plane (within New Zealand)"
"GEN24_1000474","Rental car"
"GEN24_1000476","Rental car"
"GEN24_1000476","Taxi / shuttle service"
"GEN24_1000481","Car or van owned by you / family / friend(s) / company"
"GEN24_1000484","Car or van owned by you / family / friend(s) / company"
"GEN24_1000484","Local bus service"
"GEN24_1000484","Other type of transport"
"GEN24_1000484","Plane (within New Zealand)"
"GEN24_1000484","Rental car"
"GEN24_1000485","Car or van owned by you / family / friend(s) / company"
"GEN24_1000485","Local bus service"
"GEN24_1000485","Rental car"
"GEN24_1000485","Taxi / shuttle service"
"GEN24_1000488","Car or van owned by you / family / friend(s) / company"
"GEN24_1000488","Local bus service"
"GEN24_1000488","Plane (within New Zealand)"
"GEN24_1000497","App-based services such as Uber, Ola, etc"
"GEN24_1000497","Car or van owned by you / family / friend(s) / company"
"GEN24_1000497","Taxi / shuttle service"
"GEN24_1000498","App-based services such as Uber, Ola, etc"
"GEN24_1000498","Taxi / shuttle service"
"GEN24_1000502","App-based services such as Uber, Ola, etc"
"GEN24_1000502","Car or van owned by you / family / friend(s) / company"
"GEN24_1000502","Local bus service"
"GEN24_1000502","Taxi / shuttle service"
"GEN24_1000508","Rental car"
"GEN24_1000510","App-based services such as Uber, Ola, etc"
"GEN24_1000510","Bicycle"
"GEN24_1000510","Car or van owned by you / family / friend(s) / company"
"GEN24_1000510","Taxi / shuttle service"
"GEN24_1000511","Car or van owned by you / family / friend(s) / company"
"GEN24_1000511","Other boat or ship"
"GEN24_1000511","Taxi / shuttle service"
"GEN24_1000512","Limousine / car with driver included"
"GEN24_1000518","App-based services such as Uber, Ola, etc"
"GEN24_1000518","Rental car"
"GEN24_1000521","Rental car"
"GEN24_1000522","App-based services such as Uber, Ola, etc"
"GEN24_1000522","Car or van owned by you / family / friend(s) / company"
"GEN24_1000523","Bicycle"
"GEN24_1000523","Car or van owned by you / family / friend(s) / company"
"GEN24_1000523","Local bus service"
"GEN24_1000523","Motorcycle"
"GEN24_1000524","Car or van owned by you / family / friend(s) / company"
"GEN24_1000528","Plane (within New Zealand)"
"GEN24_1000528","Taxi / shuttle service"
"GEN24_1000530","Taxi / shuttle service"
"GEN24_1000534","Motorcycle"
"GEN24_1000534","Taxi / shuttle service"
"GEN24_1000534","Train"
"GEN24_1000535","Other boat or ship"
"GEN24_1000535","Rental car"
"GEN24_1000535","Taxi / shuttle service"
"GEN24_1000536","Car or van owned by you / family / friend(s) / company"
"GEN24_1000538","App-based services such as Uber, Ola, etc"
"GEN24_1000538","Car or van owned by you / family / friend(s) / company"
"GEN24_1000539","Taxi / shuttle service"
"GEN24_1000540","Car or van owned by you / family / friend(s) / company"
"GEN24_1000540","Plane (within New Zealand)"
"GEN24_1000540","Taxi / shuttle service"
"GEN24_1000542","Bus service between towns / cities"
"GEN24_1000542","Car or van owned by you / family / friend(s) / company"
"GEN24_1000542","Other ferry"
"GEN24_1000543","Car or van owned by you / family / friend(s) / company"
"GEN24_1000543","Taxi / shuttle service"
"GEN24_1000558","Local bus service"
"GEN24_1000558","Other bus service"
"GEN24_1000558","Taxi / shuttle service"
"GEN24_1000566","Other bus service"
"GEN24_1000566","Rental car"
"GEN24_1000571","Rental campervan / motor-home"
"GEN24_1000571","Taxi / shuttle service"
"GEN24_1000574","Rental car"
"GEN24_1000576","Car or van owned by you / family / friend(s) / company"
"GEN24_1000581","Rental car"
"GEN24_1000581","Tour bus"
"GEN24_1000582","Car or van owned by you / family / friend(s) / company"
"GEN24_1000589","Car or van owned by you / family / friend(s) / company"
"GEN24_1000589","Rental car"
"GEN24_1000589","Taxi / shuttle service"
"GEN24_1000590","Car or van owned by you / family / friend(s) / company"
"GEN24_1000609","App-based services such as Uber, Ola, etc"
"GEN24_1000609","Car or van owned by you / family / friend(s) / company"
"GEN24_1000609","Rental car"
"GEN24_1000609","Taxi / shuttle service"
"GEN24_1000609","Tour bus"
"GEN24_1000611","Rental car"
"GEN24_1000612","Not sure"
"GEN24_1000615","Rental car"
"GEN24_1000615","Taxi / shuttle service"
"GEN24_1000616","Rental car"
"GEN24_1000621","Local bus service"
"GEN24_1000621","Other boat or ship"
"GEN24_1000621","Plane (within New Zealand)"
"GEN24_1000621","Rental car"
"GEN24_1000621","Taxi / shuttle service"
"GEN24_1000621","Tour bus"
"GEN24_1000622","Bus service between towns / cities"
"GEN24_1000622","Local bus service"
