"response_id","satisfaction_rating","expectation_rating","recommend_rating"
"GEN24_1000426","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000430","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9"
"GEN24_1000442","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000446","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000447","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000456","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000460","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000468","4 - Satisfied","3 - Turn out worse than the expectations you had before you arrived in New Zealand","8"
"GEN24_1000472","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000474","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000476","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000481","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000484","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000485","3 - Acceptable","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000488","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000497","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000498","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","8"
"GEN24_1000502","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000508","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000510","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000511","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000518","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000521","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000522","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000523","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000524","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000528","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000530","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000534","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000535","3 - Acceptable","2 - Meet the expectations you had before you arrived in New Zealand","5"
"GEN24_1000536","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000538","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000539","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000540","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000542","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","7"
"GEN24_1000543","3 - Acceptable","2 - Meet the expectations you had before you arrived in New Zealand","8"
